Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115,115,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115,125,,,ILLINOIS,,med,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115,115,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115,115,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115,115,,,MICHIGAN,,med,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,09/26/2016,150,150,,,ILLINOIS,,xlge,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,09/27/2016,150,150,,,ILLINOIS,,xlge,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,09/28/2016,150,150,,,ILLINOIS,,xlge,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,09/29/2016,150,150,,,ILLINOIS,,xlge,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,09/30/2016,150,150,,,ILLINOIS,,xlge,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,09/26/2016,175,175,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,09/27/2016,175,175,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,09/28/2016,175,175,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,09/29/2016,175,175,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,09/30/2016,175,175,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,09/26/2016,275,275,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,09/27/2016,275,275,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,09/28/2016,275,275,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,09/29/2016,275,275,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,09/30/2016,150,150,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/26/2016,100,100,,,ILLINOIS,,,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/26/2016,135,135,,,MISSOURI,,,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/27/2016,100,100,,,ILLINOIS,,,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/27/2016,135,135,,,MISSOURI,,,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/28/2016,100,100,,,ILLINOIS,,,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/28/2016,135,135,,,MISSOURI,,,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/29/2016,100,100,,,ILLINOIS,,,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/29/2016,135,135,,,MISSOURI,,,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/30/2016,100,100,,,ILLINOIS,,,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/30/2016,135,135,,,MISSOURI,,,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/26/2016,15,15,,,CANADA,ONTARIO,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/26/2016,15,15,,,CANADA,ONTARIO,,WHITE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/26/2016,15.75,15.75,,,ILLINOIS,,,WHITE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/26/2016,12.5,12.5,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/27/2016,15,15,,,CANADA,ONTARIO,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/27/2016,15,15,,,CANADA,ONTARIO,,WHITE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/27/2016,15,15.75,,,ILLINOIS,,,WHITE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/27/2016,12.5,15,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/28/2016,15,15,,,CANADA,ONTARIO,,WHITE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/28/2016,15,15,,,CANADA,ONTARIO,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/28/2016,15,15.75,,,ILLINOIS,,,WHITE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/28/2016,12.5,15,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/29/2016,15,15,,,CANADA,ONTARIO,,WHITE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/29/2016,15,15,,,CANADA,ONTARIO,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/29/2016,13.75,15,,,ILLINOIS,,,WHITE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/29/2016,10.75,15,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/29/2016,12,12,,,MICHIGAN,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/29/2016,12,12,,,MICHIGAN,,,WHITE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/30/2016,15,15,,,CANADA,ONTARIO,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/30/2016,15,15,,,CANADA,ONTARIO,,WHITE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/30/2016,13.75,15,,,ILLINOIS,,,WHITE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/30/2016,10.75,15,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/30/2016,12,12,,,MICHIGAN,,,WHITE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/30/2016,12,12,,,MICHIGAN,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/26/2016,16.75,16.75,,,ILLINOIS,,,WHITE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/26/2016,16.75,16.75,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/27/2016,16.75,16.75,,,ILLINOIS,,,WHITE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/27/2016,16.75,16.75,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/28/2016,14.75,14.75,,,ILLINOIS,,,WHITE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/28/2016,14.75,14.75,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/29/2016,10.75,10.75,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/29/2016,14.75,14.75,,,ILLINOIS,,,WHITE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/30/2016,10.75,10.75,,,ILLINOIS,,,ORANGE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/30/2016,14.75,14.75,,,ILLINOIS,,,WHITE,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,MINIATURE,ROUND TYPE,,09/26/2016,275,275,,,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,MINIATURE,ROUND TYPE,,09/27/2016,275,275,,,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,MINIATURE,ROUND TYPE,,09/28/2016,275,275,,,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ST. LOUIS,,36 inch bins,MINIATURE,ROUND TYPE,,09/29/2016,275,275,,,MICHIGAN,,sml,,,,,,,,,N,
